;Run 1;Run 2;Run 3;Run 4;Run 5;Run 6;Run 7;Run 8;Run 9;Run 10;Run 11;Run 12;Run 13;Run 14;Run 15;Run 16;Run 17;Run 18;Run 19;Run 20;Run 21;Run 22;Run 23;Run 24;Run 25;Run 26;Run 27;Run 28;Run 29;Run 30;
Fundamentalist;5559.761;5418.524;5551.484;5640.402;5747.957;5921.8794;5996.05;6018.528;5665.0225;5655.1035;5917.541;5681.268;5676.189;5854.632;5485.626;5642.1406;5492.8447;5349.5713;6100.09;5383.441;5980.5054;5739.7563;5742.9585;5873.2393;5620.225;5785.3726;5733.111;5447.981;5922.9414;5696.372; 
HMA;2728.213;2593.0574;2827.6753;2810.6006;2835.669;2996.465;3034.1145;3019.3125;2773.966;2877.8025;2904.0818;2725.4097;2778.065;2978.0999;2559.3188;2772.3496;2739.8464;2549.602;3119.5068;2517.6592;3007.258;2890.9797;2810.2415;2921.084;2829.4282;2928.5596;2829.1077;2577.1848;2938.2974;2835.7083; 
MACD;2682.2397;2549.924;2730.884;2729.9448;2791.7844;2894.83;2920.3608;2916.253;2695.2634;2769.189;2836.2654;2690.704;2749.8835;2906.8462;2527.2947;2671.0059;2685.1025;2516.6448;3125.6636;2431.524;2940.365;2797.2795;2768.0405;2845.059;2768.2695;2838.585;2769.5703;2527.563;2888.8794;2769.8455; 
RSI;3699.5383;3546.2686;3677.5908;3731.6824;3889.8962;3919.4438;3967.431;4017.2734;3761.9138;3757.841;4097.006;3740.1462;3769.1018;3962.3062;3577.347;3742.5847;3630.4185;3474.3774;4257.568;3453.405;4075.106;3832.2913;3774.6147;3886.1882;3723.6853;3916.5588;3761.9744;3483.1829;4073.7734;3786.9783; 
DoubleExpMovingAverage;2730.4368;2544.7507;2716.0576;2698.9185;2723.506;2926.633;2954.563;2959.073;2689.533;2769.3364;2858.039;2701.3557;2738.622;2937.136;2477.2874;2639.428;2659.7368;2556.466;3086.1665;2452.4175;2931.7268;2803.5107;2780.3152;2872.6235;2767.92;2824.2766;2775.9504;2535.0676;2871.128;2740.8655; 
PPO;2692.8271;2573.979;2722.9497;2722.2212;2756.2688;2919.9646;2923.6934;2954.4958;2650.0017;2758.4314;2818.2383;2703.2463;2716.3647;2894.392;2528.8108;2692.7695;2671.1772;2539.5815;3136.8628;2432.877;2931.4287;2783.9595;2762.5598;2859.5293;2763.615;2811.6138;2771.9944;2513.0044;2906.6458;2790.8884; 
ROC;4137.1523;4058.662;4335.648;4254.9688;4358.3403;4741.759;4666.7485;4555.796;4256.6084;4475.3496;4480.854;4395.0986;4161.7734;4598.543;4156.7764;4302.5483;3956.7126;4047.2644;4785.8086;4034.0618;4596.0425;4362.3716;4508.614;4488.759;4218.9272;4315.9185;4408.6265;4031.6086;4641.8257;4349.1235; 
MVWAP;4495.776;4521.6753;4566.533;4579.552;4621.8267;4670.088;4736.8647;4720.984;4685.8525;4466.364;4706.8096;4600.38;4763.136;4654.0317;4614.504;4563.825;4648.606;4441.179;4747.4;4630.4644;4733.805;4553.1255;4655.068;4750.412;4556.4756;4637.585;4584.382;4562.064;4605.2915;4645.4253; 
CoppCurve;3761.3477;3473.893;3720.9648;3764.1345;3929.2751;4211.3896;4326.6406;4334.194;3830.3228;3917.3962;4243.5264;3826.0967;3853.318;4159.3984;3501.7622;3790.3408;3617.322;3344.844;4488.0166;3390.9294;4283.7856;3997.017;3977.0083;4086.8672;3800.9717;4027.901;4010.6292;3449.6682;4186.1265;3894.7908; 
ZLEMA;3716.1536;3493.757;3662.934;3684.8958;3808.4487;4014.896;3966.1091;4001.0066;3736.2783;3773.3965;4078.3555;3770.1604;3758.6738;3961.3806;3556.19;3706.3142;3588.4722;3449.5583;4099.839;3448.3618;4016.1104;3839.5564;3836.4592;3850.0867;3723.5488;3914.8186;3795.0261;3514.781;4059.9973;3797.8176; 
