;Run 1;Run 2;Run 3;Run 4;Run 5;Run 6;Run 7;Run 8;Run 9;Run 10;Run 11;Run 12;Run 13;Run 14;Run 15;Run 16;Run 17;Run 18;Run 19;Run 20;Run 21;Run 22;Run 23;Run 24;Run 25;Run 26;Run 27;Run 28;Run 29;Run 30;
NVI;3731.9907;3672.3647;3692.3425;3730.9604;3774.6313;3830.982;3828.3918;3852.2644;3712.0476;3739.9326;3848.4573;3719.9675;3714.0408;3808.6494;3701.8237;3731.856;3685.5828;3686.3079;3901.2747;3618.2227;3817.5747;3791.9788;3746.8914;3799.09;3725.9893;3804.9949;3816.77;3659.9744;3886.8994;3747.1143; 
TripleExpMovingAverage;2811.9097;2555.4705;2752.9604;2745.94;2837.1345;2988.8948;3009.6394;2994.4077;2731.4146;2822.5662;2876.4534;2769.172;2767.8855;2956.379;2552.1697;2705.2087;2710.5693;2543.0273;3134.8433;2470.467;2975.4966;2880.6394;2789.166;2896.7185;2750.3237;2835.557;2793.6428;2534.5137;2924.8845;2754.8384; 
KAMA;3160.9573;2903.485;3151.7903;3177.8726;3150.9717;3284.7283;3332.205;3355.7478;3186.7996;3198.822;3215.2356;3128.2395;3226.9202;3364.4504;2959.8547;3123.745;3079.339;3016.6917;3468.371;2895.6047;3282.6191;3245.6672;3243.319;3317.0127;3276.398;3299.7322;3286.788;2936.065;3223.0378;3197.6882; 
PVI;3748.107;3432.9824;3730.084;3825.3015;3936.747;4221.193;4336.989;4293.801;3827.0234;3873.7107;4242.4253;3814.9177;3875.5688;4151.597;3473.276;3738.6863;3613.1382;3379.1265;4423.8613;3425.6748;4323.6577;3945.1472;3929.1943;4118.686;3787.1233;4063.257;3985.707;3446.691;4163.7744;3879.7568; 
SimpleMovingAverage;3664.6184;3548.4807;3577.8127;3659.3828;3690.108;3794.437;3720.0447;3739.2527;3654.8596;3659.0186;3808.3596;3693.17;3669.297;3710.4675;3588.2778;3633.8335;3621.2192;3591.306;3795.7378;3529.9995;3760.4065;3674.6904;3663.3445;3769.5024;3680.441;3752.1484;3703.3196;3525.34;3775.7026;3713.8633; 
WMA;2731.4863;2504.5151;2760.4265;2760.0918;2814.3035;2916.3508;2920.2805;2991.046;2746.215;2840.574;2854.3635;2757.731;2766.3552;2951.2146;2546.059;2697.8318;2692.7388;2560.0369;3150.1858;2468.0803;2920.0203;2817.7659;2784.439;2872.206;2772.1038;2863.773;2755.9087;2560.5303;2929.7878;2764.0222; 
WilliamR;3665.2869;3564.63;3707.6404;3792.2021;3795.91;4015.3035;4071.3818;4068.4458;3773.0708;3781.8196;4043.5034;3721.0352;3789.9219;3936.6868;3619.6968;3752.8635;3644.565;3480.7976;4106.1265;3453.8096;3994.8877;3855.4072;3852.9202;3978.2444;3741.587;3845.7417;3842.638;3518.6265;3975.7068;3781.1694; 
StochasticOscillatorK;3701.836;3495.659;3628.2373;3715.1106;3795.884;3987.7722;4057.2117;4082.3325;3679.6233;3745.144;3949.3555;3718.0947;3718.6333;3873.3281;3596.989;3744.226;3673.6653;3462.339;3997.0867;3461.6785;3877.5654;3892.0823;3806.8535;3903.4434;3764.5618;3857.7734;3813.3853;3485.8552;3964.4685;3797.9553; 
AD;3689.4011;3373.8325;3585.4438;3598.1582;3607.4758;3881.9985;3766.1787;3827.8076;3521.3923;3779.5798;3928.4316;3665.7048;3606.4229;3806.5342;3465.2717;3567.8127;3585.0186;3404.5144;4038.7754;3436.6926;3790.3596;3862.5747;3596.9033;3791.5315;3747.7905;3860.2417;3729.4673;3421.536;3671.7625;3632.9185; 
RAVI;3762.172;3667.8994;3714.9207;3747.7483;3737.1643;3808.698;3879.8577;3872.51;3789.0479;3752.8755;3845.0698;3792.0208;3777.393;3818.8767;3677.573;3747.5261;3658.1025;3659.531;3866.2644;3639.2922;3842.479;3771.8838;3766.061;3820.7798;3791.0803;3763.0217;3800.4717;3630.689;3806.9368;3757.5415; 
ExpMovingAverage;2701.1182;2518.8303;2720.8835;2754.0554;2761.1975;2911.5093;2930.0417;2929.978;2728.983;2794.7883;2854.9155;2693.3418;2726.7544;2879.5732;2506.128;2716.2236;2680.4333;2521.9734;3062.4448;2435.5928;2892.6047;2854.2544;2731.093;2853.1084;2764.4944;2850.5796;2759.5708;2542.838;2875.1445;2762.7498; 
Chaikin;3811.4856;3583.1143;3789.594;3774.1987;3928.263;4099.256;4223.7993;3990.2307;3742.3442;3858.4722;4227.3647;3867.2695;3619.5532;4067.6948;3523.3398;3877.246;3653.771;3525.4463;4123.517;3435.422;4035.621;3964.7886;3806.9531;3716.415;3868.554;3824.9668;3696.3555;3442.8542;3980.489;3862.4172; 
VWAP;5439.999;5226.423;5463.4214;5572.7227;5743.5913;5834.592;5768.594;6013.3853;5596.1274;5481.236;5880.83;5467.21;5655.7124;5732.017;5358.4756;5451.8667;5539.508;5250.034;5928.4663;5207.3105;5939.4707;5610.6606;5559.992;5683.758;5478.4277;5777.783;5684.927;5272.622;5816.8154;5576.1636; 
