fundamentalist , 47618.633
WilliamR,-2846.0518
fundamentalist , 62223.73
WilliamR,-2866.0774
fundamentalist , 44307.402
WilliamR,-2936.6519
fundamentalist , 37913.582
WilliamR,-2761.5261
fundamentalist , 50120.5
WilliamR,-2739.278
fundamentalist , 57148.586
WilliamR,-2479.6885
fundamentalist , 41280.895
WilliamR,-2806.3752
fundamentalist , 41901.223
WilliamR,-2637.5356
fundamentalist , 37663.17
WilliamR,-2655.948
fundamentalist , 57132.45
WilliamR,-2760.7632
fundamentalist , 37397.59
WilliamR,-2392.6924
fundamentalist , 44816.133
WilliamR,-2274.541
fundamentalist , 51649.93
WilliamR,-2593.802
fundamentalist , 39356.258
WilliamR,-2261.007
fundamentalist , 39356.258
WilliamR,-2261.007
fundamentalist , 39356.258
WilliamR,-2261.007
fundamentalist , 162590.17
WilliamR,4784.579
fundamentalist , 162590.17
WilliamR,4784.579
fundamentalist , 162590.17
WilliamR,4784.579
fundamentalist , 166624.98
DoubleExpMovingAverage,87812.49
SimpleMovingAverage,19408.86
ExpMovingAverage,-2643.889
WMA,2737.551
CoppCurve,362487.8
StochasticOscillatorK,11566.107
WilliamR,83850.17
RSI,6916.182
TimeLag,188773.48
TripleExpMovingAverage,7536.923
ROC,1377471.8
LongShort,189899.38
MACD,8032.936
Chaikin,181809.4
RAVI,22685.41
MVWAP,4763285.0
PVI,275682.7
KAMA,2877.987
ZLEMA,69211.086
HMA,4465.0225
NVI,14147.635
VWAP,9571738.0
PPO,69043.8
AD,275945.22
fundamentalist , 166624.98
DoubleExpMovingAverage,87812.49
SimpleMovingAverage,19408.86
ExpMovingAverage,-2643.889
WMA,2737.551
CoppCurve,362487.8
StochasticOscillatorK,11566.107
WilliamR,83850.17
RSI,6916.182
TimeLag,188773.48
TripleExpMovingAverage,7536.923
ROC,1377471.8
LongShort,189899.38
MACD,8032.936
Chaikin,181809.4
RAVI,22685.41
MVWAP,4763285.0
PVI,275682.7
KAMA,2877.987
ZLEMA,69211.086
HMA,4465.0225
NVI,14147.635
VWAP,9571738.0
