;Run 1;Run 2;Run 3;Run 4;Run 5;Run 6;Run 7;Run 8;Run 9;Run 10;Run 11;Run 12;Run 13;Run 14;Run 15;Run 16;Run 17;Run 18;Run 19;Run 20;Run 21;Run 22;Run 23;Run 24;Run 25;Run 26;Run 27;Run 28;Run 29;Run 30;
Fundamentalist;40465.15;38606.23;42114.23;39389.61;41090.297;40935.59;42819.656;39969.14;45843.71;39157.867;42749.215;41692.105;42852.527;39253.258;40167.266;44051.2;38876.586;41495.086;38219.895;43953.176;42041.516;40955.89;40099.387;38752.074;41542.035;43964.38;36029.76;43458.7;41493.637;42030.2; 
CoppCurve;41334.938;39300.83;42974.625;36065.207;41228.8;40442.46;43955.754;40965.164;47159.062;40387.883;45593.03;42257.676;42580.51;40087.684;39352.203;44943.973;38305.38;43731.09;36543.355;44651.348;43883.473;39857.04;39191.652;38736.438;41283.582;45197.492;34881.066;42685.406;42049.87;41553.66; 
RAVI;9728.464;19569.883;10573.27;19387.557;19214.969;8623.924;9982.283;14742.214;10376.633;8746.683;19553.484;13367.06;9940.533;19688.613;11387.766;13833.339;15516.931;13900.394;22588.48;28839.852;31931.63;15585.627;20722.05;10547.926;17650.102;8960.772;24328.541;10226.6045;22087.59;10590.253; 
WilliamR;33177.22;30295.77;37702.105;31093.754;31555.76;34183.984;38111.137;34675.875;36908.8;33600.49;36972.25;35677.29;35428.055;31200.42;34908.32;37487.305;32323.488;33173.496;26959.912;33648.52;35737.39;32346.18;34218.52;32318.602;35086.547;37112.254;26947.977;36091.867;34387.01;34147.19; 
TripleExpMovingAverage;18189.756;24715.055;17583.494;20509.191;14671.782;15792.865;12266.95;24181.635;12859.762;19170.705;21900.066;18633.393;18220.266;20824.238;16223.665;20688.445;20097.242;18184.375;20805.383;15383.251;17210.727;15776.098;19339.322;21008.084;14740.397;16536.705;18011.615;13417.095;15247.158;16640.262; 
StochasticOscillatorK;37722.113;32473.906;39931.51;34639.906;37851.668;37287.61;39027.25;34061.816;38276.516;33726.336;41348.344;37574.29;36711.39;36978.85;37584.145;41440.805;32840.33;38184.633;31461.705;40140.94;39274.793;36111.203;33611.26;35848.31;36301.22;39099.445;31650.967;35695.613;38042.22;39061.42; 
WMA;17368.426;22499.193;13685.859;11806.221;14043.762;18282.592;19899.316;18754.623;15408.283;18738.541;14035.879;18130.547;17668.74;18612.58;17600.348;14304.596;20159.291;13310.179;19973.479;10177.072;17758.928;17433.85;20384.902;19600.488;13257.42;19387.29;17392.908;12990.466;17320.04;16198.193; 
NVI;6044.8496;6008.1396;6132.122;5686.633;6027.946;5951.176;6216.436;6080.3096;6300.2886;5926.8994;6371.57;6134.625;6071.2783;5977.6553;5997.6934;6236.007;5828.9004;6305.357;5756.513;6189.9136;6167.789;6020.417;5858.1865;5902.8887;6138.859;6285.952;5766.181;6104.962;6131.3604;6011.419; 
RSI;36444.668;10262.12;36552.98;14452.595;30737.496;22237.139;35354.566;6696.9243;17544.291;20122.928;42869.242;14467.32;16420.555;13684.407;21838.994;24363.496;18888.938;26322.516;15063.264;19180.951;18454.875;7107.22;8264.78;16725.158;15987.343;19244.37;11553.511;20579.662;26736.914;25943.21; 
HMA;18312.736;23943.936;18047.639;21665.016;14221.74;18862.62;12545.449;23612.914;18207.076;19802.549;17139.213;18233.533;16494.088;20243.227;16390.549;21902.209;20291.342;16481.37;21286.857;15189.688;18725.59;17486.412;18784.152;20941.799;16542.576;16504.059;18950.834;13764.233;16075.01;16064.62; 
PVI;40749.87;38669.56;42824.734;36350.72;41440.203;39816.848;44297.754;40285.58;47028.14;39715.305;46272.125;42177.527;41904.92;39510.305;38739.727;43761.906;38096.613;44307.496;36067.535;45083.832;43207.69;39231.727;38123.31;38511.094;41164.684;44755.71;34483.977;41947.594;41487.355;41097.35; 
KAMA;11555.6455;13327.363;9530.121;5788.231;9267.474;16559.52;18913.174;14452.345;8438.21;8106.481;10212.626;10302.908;10174.563;13919.959;9906.288;6695.4614;5905.6772;11816.068;10760.16;9180.906;9456.463;13206.488;9415.148;15378.417;6743.3423;14339.445;10207.887;10053.373;11374.629;12054.661; 
MACD;17218.31;23590.691;14573.717;12309.587;14761.41;17560.525;21783.88;21151.068;17035.97;19365.703;13689.579;18020.93;18745.22;19749.955;17499.238;14161.245;20551.227;14612.732;21926.914;12676.239;14426.414;17073.992;18053.25;20767.484;13767.958;20253.729;18345.291;13228.578;18207.201;17031.229; 
PPO;17421.877;24188.072;14621.529;12715.173;14199.441;18518.67;21581.248;21981.314;16885.514;18969.506;13829.333;18323.729;18383.22;19153.807;17372.549;14123.505;20421.346;14689.867;21488.434;12946.242;14430.845;16867.422;18157.041;21159.83;13763.692;20580.598;17995.314;12989.775;18218.562;17018.143; 
ExpMovingAverage;17041.219;16570.592;12038.778;11401.75;12982.74;17131.723;19873.852;18059.684;14753.719;17802.229;13694.658;15921.225;17253.637;15968.374;16333.34;13546.658;14517.588;12986.026;19591.986;9626.439;17878.596;16386.195;18061.133;19074.346;12316.988;18586.367;16242.41;11659.695;16977.434;15155.59; 
SimpleMovingAverage;11824.25;15248.378;9245.542;5917.8794;11265.631;10615.144;14436.404;14056.485;8852.035;11116.399;10458.583;10417.324;10509.165;15706.033;14159.777;6756.9336;5954.897;12315.257;13692.431;9469.3;17175.287;12788.692;9094.395;16006.406;6507.9985;14249.55;13003.446;9954.594;11718.137;13055.108; 
ZLEMA;20948.463;23216.127;19400.375;20810.209;19316.852;17784.46;17841.562;23458.207;17377.65;16624.764;25339.332;32762.625;19361.105;24575.965;19350.162;15663.193;24402.57;38671.58;16277.078;18387.887;35833.617;15657.666;30590.117;22744.36;18794.965;25148.844;17520.783;15597.054;25104.469;15116.673; 
AD;23374.791;26941.967;22651.695;26861.002;22781.254;22964.402;15645.829;28076.635;20692.725;35836.47;23828.648;22583.607;29790.744;26982.062;22999.303;27334.61;23125.684;32081.723;25216.172;21855.473;25813.969;24436.473;19855.514;33109.48;26330.053;23652.604;27368.303;32290.848;19414.477;17566.47; 
Chaikin;11236.214;10041.31;12345.492;10477.922;12481.296;11732.344;10337.311;10891.076;13746.963;15330.1875;14664.339;10286.827;11735.507;15286.236;10188.649;11404.495;11681.307;14523.766;13204.822;14149.068;12064.199;13017.756;12017.225;15101.889;15419.317;11092.088;13249.666;13553.456;10410.092;9845.872; 
ROC;33517.688;23432.047;38889.66;40597.934;41197.043;36151.203;32063.62;30747.348;39052.8;36644.07;40016.68;31354.72;26388.844;33081.656;41957.703;38072.418;44977.793;43966.234;28598.314;43531.496;31625.791;38200.37;36662.2;27861.137;46409.72;25282.08;37510.27;42451.17;39823.824;35806.266; 
DoubleExpMovingAverage;18380.193;23164.465;17611.176;18467.766;13963.525;18901.52;14855.435;22920.03;17677.752;19797.416;14319.398;19849.139;18454.297;19360.227;16538.262;14435.227;21695.307;15515.816;21059.553;14978.493;16668.506;17797.684;20036.758;19578.637;13816.29;17175.46;18280.375;13598.401;17380.031;15974.086; 
VWAP;110772.375;107584.7;117179.55;90995.8;124560.55;106855.08;121273.516;113966.836;126648.766;117216.16;122307.47;117210.83;110987.055;110309.66;109934.48;123054.266;106028.09;127704.9;90701.67;122450.51;119488.05;108373.24;98257.19;103477.71;119243.57;120379.91;103888.664;114770.086;107963.72;114306.3; 
MVWAP;116798.08;104844.34;119866.88;99589.016;110853.945;106405.28;114014.71;108089.45;118986.75;115316.88;130509.305;122019.44;110403.82;108363.766;101078.79;116255.1;99567.516;122346.02;87297.03;117133.7;105419.234;102414.34;95970.805;104480.01;120593.266;121158.95;101325.88;113575.25;110438.27;117861.164; 
